Timing,Xms,Xmx,GCollector
0.140625,1664,1152,UseG1GC
0.1375,1664,1280,UseG1GC
0.1359375,1664,1408,UseG1GC
0.1390625,1664,1536,UseG1GC
1.015625,1664,1664,UseG1GC
1,1664,1792,UseG1GC
1.045313,1664,1920,UseG1GC
0.125,1792,256,UseG1GC
0.1359375,1792,384,UseG1GC
0.13125,1792,512,UseG1GC
0.1421875,1792,640,UseG1GC
0.13125,1792,768,UseG1GC
0.128125,1792,896,UseG1GC
0.1375,1792,1024,UseG1GC
0.134375,1792,1152,UseG1GC
0.1453125,1792,1280,UseG1GC
0.1109375,1792,1408,UseG1GC
0.13125,1792,1536,UseG1GC
0.1296875,1792,1664,UseG1GC
1,1792,1792,UseG1GC
1.034375,1792,1920,UseG1GC
0.1234375,1920,256,UseG1GC
0.1375,1920,384,UseG1GC
0.134375,1920,512,UseG1GC
0.1421875,1920,640,UseG1GC
0.13125,1920,768,UseG1GC
0.134375,1920,896,UseG1GC
0.134375,1920,1024,UseG1GC
0.134375,1920,1152,UseG1GC
0.1234375,1920,1280,UseG1GC
0.1171875,1920,1408,UseG1GC
0.1390625,1920,1536,UseG1GC
0.1359375,1920,1664,UseG1GC
0.1296875,1920,1792,UseG1GC
1.03125,1920,1920,UseG1GC
1.017187,256,256,UseSerialGC
0.9625,256,384,UseSerialGC
0.94375,256,512,UseSerialGC
0.9453125,256,640,UseSerialGC
0.9671875,256,768,UseSerialGC
1.001562,256,896,UseSerialGC
0.984375,256,1024,UseSerialGC
1.028125,256,1152,UseSerialGC
1.003125,256,1280,UseSerialGC
0.9796875,256,1408,UseSerialGC
0.975,256,1536,UseSerialGC
1.017187,256,1664,UseSerialGC
0.9515625,256,1792,UseSerialGC
0.9671875,256,1920,UseSerialGC
0.1125,384,256,UseSerialGC
0.9859375,384,384,UseSerialGC
0.9828125,384,512,UseSerialGC
1.017187,384,640,UseSerialGC
0.95625,384,768,UseSerialGC
0.971875,384,896,UseSerialGC
0.9453125,384,1024,UseSerialGC
0.996875,384,1152,UseSerialGC
0.996875,384,1280,UseSerialGC
0.965625,384,1408,UseSerialGC
0.975,384,1536,UseSerialGC
0.9875,384,1664,UseSerialGC
1,384,1792,UseSerialGC
0.94375,384,1920,UseSerialGC
0.121875,512,256,UseSerialGC
0.1171875,512,384,UseSerialGC
0.990625,512,512,UseSerialGC
0.9734375,512,640,UseSerialGC
0.9265625,512,768,UseSerialGC
0.996875,512,896,UseSerialGC
0.9828125,512,1024,UseSerialGC
0.9953125,512,1152,UseSerialGC
0.9828125,512,1280,UseSerialGC
0.9796875,512,1408,UseSerialGC
1.03125,512,1536,UseSerialGC
1.153125,512,1664,UseSerialGC
1.032812,512,1792,UseSerialGC
1.0125,512,1920,UseSerialGC
0.1625,640,256,UseSerialGC
0.153125,640,384,UseSerialGC
0.1140625,640,512,UseSerialGC
1.073437,640,640,UseSerialGC
1.028125,640,768,UseSerialGC
1.009375,640,896,UseSerialGC
1.025,640,1024,UseSerialGC
1.06875,640,1152,UseSerialGC
1.045313,640,1280,UseSerialGC
1.215625,640,1408,UseSerialGC
0.9609375,640,1536,UseSerialGC
0.9890625,640,1664,UseSerialGC
1.0375,640,1792,UseSerialGC
1.082813,640,1920,UseSerialGC
0.175,768,256,UseSerialGC
0.159375,768,384,UseSerialGC
0.146875,768,512,UseSerialGC
0.16875,768,640,UseSerialGC
1.139063,768,768,UseSerialGC
1.192188,768,896,UseSerialGC
1.104687,768,1024,UseSerialGC
1.101563,768,1152,UseSerialGC
1.064062,768,1280,UseSerialGC
1.135937,768,1408,UseSerialGC
1.08125,768,1536,UseSerialGC
1.1375,768,1664,UseSerialGC
1.217188,768,1792,UseSerialGC
1.140625,768,1920,UseSerialGC
0.1625,896,256,UseSerialGC
0.1296875,896,384,UseSerialGC
0.1328125,896,512,UseSerialGC
0.1609375,896,640,UseSerialGC
0.1546875,896,768,UseSerialGC
1.146875,896,896,UseSerialGC
1.08125,896,1024,UseSerialGC
1.185938,896,1152,UseSerialGC
1.254688,896,1280,UseSerialGC
1.153125,896,1408,UseSerialGC
1.034375,896,1536,UseSerialGC
1.160938,896,1664,UseSerialGC
1.204687,896,1792,UseSerialGC
1.210938,896,1920,UseSerialGC
0.146875,1024,256,UseSerialGC
0.1828125,1024,384,UseSerialGC
0.1921875,1024,512,UseSerialGC
0.159375,1024,640,UseSerialGC
0.1671875,1024,768,UseSerialGC
0.1484375,1024,896,UseSerialGC
1.151562,1024,1024,UseSerialGC
1.110937,1024,1152,UseSerialGC
1.126562,1024,1280,UseSerialGC
1.096875,1024,1408,UseSerialGC
1.115625,1024,1536,UseSerialGC
1.196875,1024,1664,UseSerialGC
1.18125,1024,1792,UseSerialGC
1.16875,1024,1920,UseSerialGC
0.1640625,1152,256,UseSerialGC
0.175,1152,384,UseSerialGC
0.171875,1152,512,UseSerialGC
0.1671875,1152,640,UseSerialGC
0.1515625,1152,768,UseSerialGC
0.18125,1152,896,UseSerialGC
0.15625,1152,1024,UseSerialGC
1.1875,1152,1152,UseSerialGC
1.15,1152,1280,UseSerialGC
1.0875,1152,1408,UseSerialGC
1.159375,1152,1536,UseSerialGC
1.098438,1152,1664,UseSerialGC
1.1,1152,1792,UseSerialGC
1.126562,1152,1920,UseSerialGC
0.15625,1280,256,UseSerialGC
0.1703125,1280,384,UseSerialGC
0.159375,1280,512,UseSerialGC
0.1734375,1280,640,UseSerialGC
0.165625,1280,768,UseSerialGC
0.159375,1280,896,UseSerialGC
0.14375,1280,1024,UseSerialGC
0.1703125,1280,1152,UseSerialGC
1.195313,1280,1280,UseSerialGC
1.129688,1280,1408,UseSerialGC
1.1,1280,1536,UseSerialGC
1.15625,1280,1664,UseSerialGC
1.08125,1280,1792,UseSerialGC
1.09375,1280,1920,UseSerialGC
0.15,1408,256,UseSerialGC
0.175,1408,384,UseSerialGC
0.1578125,1408,512,UseSerialGC
0.153125,1408,640,UseSerialGC
0.1453125,1408,768,UseSerialGC
0.184375,1408,896,UseSerialGC
0.15,1408,1024,UseSerialGC
0.16875,1408,1152,UseSerialGC
0.146875,1408,1280,UseSerialGC
1.090625,1408,1408,UseSerialGC
1.134375,1408,1536,UseSerialGC
1.128125,1408,1664,UseSerialGC
1.13125,1408,1792,UseSerialGC
1.142187,1408,1920,UseSerialGC
0.1546875,1536,256,UseSerialGC
0.1375,1536,384,UseSerialGC
0.15625,1536,512,UseSerialGC
0.1921875,1536,640,UseSerialGC
0.1515625,1536,768,UseSerialGC
0.15625,1536,896,UseSerialGC
0.184375,1536,1024,UseSerialGC
0.171875,1536,1152,UseSerialGC
0.1625,1536,1280,UseSerialGC
0.16875,1536,1408,UseSerialGC
1.190625,1536,1536,UseSerialGC
1.184375,1536,1664,UseSerialGC
1.23125,1536,1792,UseSerialGC
1.134375,1536,1920,UseSerialGC
0.175,1664,256,UseSerialGC
0.1609375,1664,384,UseSerialGC
0.1796875,1664,512,UseSerialGC
0.165625,1664,640,UseSerialGC
0.1984375,1664,768,UseSerialGC
0.14375,1664,896,UseSerialGC
0.1765625,1664,1024,UseSerialGC
0.1546875,1664,1152,UseSerialGC
0.16875,1664,1280,UseSerialGC
0.1671875,1664,1408,UseSerialGC
0.1765625,1664,1536,UseSerialGC
1.134375,1664,1664,UseSerialGC
1.134375,1664,1792,UseSerialGC
1.19375,1664,1920,UseSerialGC
0.1921875,1792,256,UseSerialGC
0.1484375,1792,384,UseSerialGC
0.1890625,1792,512,UseSerialGC
0.1453125,1792,640,UseSerialGC
0.1671875,1792,768,UseSerialGC
0.1640625,1792,896,UseSerialGC
0.15,1792,1024,UseSerialGC
0.15625,1792,1152,UseSerialGC
0.1796875,1792,1280,UseSerialGC
0.175,1792,1408,UseSerialGC
0.159375,1792,1536,UseSerialGC
0.159375,1792,1664,UseSerialGC
1.217188,1792,1792,UseSerialGC
1.135937,1792,1920,UseSerialGC
0.153125,1920,256,UseSerialGC
0.1671875,1920,384,UseSerialGC
0.128125,1920,512,UseSerialGC
0.1671875,1920,640,UseSerialGC
0.14375,1920,768,UseSerialGC
0.1609375,1920,896,UseSerialGC
0.1640625,1920,1024,UseSerialGC
0.15625,1920,1152,UseSerialGC
0.1640625,1920,1280,UseSerialGC
0.140625,1920,1408,UseSerialGC
0.1546875,1920,1536,UseSerialGC
0.1640625,1920,1664,UseSerialGC
0.1328125,1920,1792,UseSerialGC
1.225,1920,1920,UseSerialGC
1.148438,256,256,UseParallelGC
1.123438,256,384,UseParallelGC
1.128125,256,512,UseParallelGC
1.035938,256,640,UseParallelGC
1.125,256,768,UseParallelGC
1.115625,256,896,UseParallelGC
1.076563,256,1024,UseParallelGC
1.103125,256,1152,UseParallelGC
1.073437,256,1280,UseParallelGC
1.1375,256,1408,UseParallelGC
1.126562,256,1536,UseParallelGC
1.157812,256,1664,UseParallelGC
1.121875,256,1792,UseParallelGC
0.9765625,256,1920,UseParallelGC
0.1734375,384,256,UseParallelGC
1.120312,384,384,UseParallelGC
1.190625,384,512,UseParallelGC
1.153125,384,640,UseParallelGC
1.154688,384,768,UseParallelGC
1.171875,384,896,UseParallelGC
1.151562,384,1024,UseParallelGC
1.11875,384,1152,UseParallelGC
1.160938,384,1280,UseParallelGC
1.096875,384,1408,UseParallelGC
1.115625,384,1536,UseParallelGC
1.13125,384,1664,UseParallelGC
1.128125,384,1792,UseParallelGC
1.079687,384,1920,UseParallelGC
0.1859375,512,256,UseParallelGC
0.1515625,512,384,UseParallelGC
1.148438,512,512,UseParallelGC
1.059375,512,640,UseParallelGC
1.05625,512,768,UseParallelGC
1.110937,512,896,UseParallelGC
1.095312,512,1024,UseParallelGC
1.107813,512,1152,UseParallelGC
1.146875,512,1280,UseParallelGC
1.1125,512,1408,UseParallelGC
1.1375,512,1536,UseParallelGC
1.10625,512,1664,UseParallelGC
1.039063,512,1792,UseParallelGC
1.046875,512,1920,UseParallelGC
0.171875,640,256,UseParallelGC
0.165625,640,384,UseParallelGC
0.14375,640,512,UseParallelGC
1.0125,640,640,UseParallelGC
1.092188,640,768,UseParallelGC
1.13125,640,896,UseParallelGC
1.151562,640,1024,UseParallelGC
1.10625,640,1152,UseParallelGC
1.079687,640,1280,UseParallelGC
1.075,640,1408,UseParallelGC
1.051563,640,1536,UseParallelGC
1.039063,640,1664,UseParallelGC
1.065625,640,1792,UseParallelGC
1.0375,640,1920,UseParallelGC
0.128125,768,256,UseParallelGC
0.14375,768,384,UseParallelGC
0.140625,768,512,UseParallelGC
0.14375,768,640,UseParallelGC
1.01875,768,768,UseParallelGC
1.039063,768,896,UseParallelGC
1.0125,768,1024,UseParallelGC
1.045313,768,1152,UseParallelGC
0.9953125,768,1280,UseParallelGC
1.028125,768,1408,UseParallelGC
1.0375,768,1536,UseParallelGC
1.057812,768,1664,UseParallelGC
1.0125,768,1792,UseParallelGC
1.021875,768,1920,UseParallelGC
0.128125,896,256,UseParallelGC
0.1640625,896,384,UseParallelGC
0.14375,896,512,UseParallelGC
0.1125,896,640,UseParallelGC
0.15625,896,768,UseParallelGC
1.03125,896,896,UseParallelGC
0.903125,896,1024,UseParallelGC
1.042187,896,1152,UseParallelGC
1.053125,896,1280,UseParallelGC
1.054688,896,1408,UseParallelGC
1.004688,896,1536,UseParallelGC
1.053125,896,1664,UseParallelGC
1.004688,896,1792,UseParallelGC
1.035938,896,1920,UseParallelGC
0.125,1024,256,UseParallelGC
0.15,1024,384,UseParallelGC
0.1375,1024,512,UseParallelGC
0.159375,1024,640,UseParallelGC
0.134375,1024,768,UseParallelGC
0.14375,1024,896,UseParallelGC
1.035938,1024,1024,UseParallelGC
1.057812,1024,1152,UseParallelGC
1.023438,1024,1280,UseParallelGC
1.042187,1024,1408,UseParallelGC
1.0125,1024,1536,UseParallelGC
1.060938,1024,1664,UseParallelGC
1.039063,1024,1792,UseParallelGC
1.059375,1024,1920,UseParallelGC
0.140625,1152,256,UseParallelGC
0.134375,1152,384,UseParallelGC
0.14375,1152,512,UseParallelGC
0.15,1152,640,UseParallelGC
0.15625,1152,768,UseParallelGC
0.125,1152,896,UseParallelGC
0.11875,1152,1024,UseParallelGC
0.9953125,1152,1152,UseParallelGC
0.875,1152,1280,UseParallelGC
0.8765625,1152,1408,UseParallelGC
1.067188,1152,1536,UseParallelGC
1.073437,1152,1664,UseParallelGC
1.017187,1152,1792,UseParallelGC
1.032812,1152,1920,UseParallelGC
0.146875,1280,256,UseParallelGC
0.140625,1280,384,UseParallelGC
0.14375,1280,512,UseParallelGC
0.13125,1280,640,UseParallelGC
0.140625,1280,768,UseParallelGC
0.146875,1280,896,UseParallelGC
0.13125,1280,1024,UseParallelGC
0.140625,1280,1152,UseParallelGC
1.070313,1280,1280,UseParallelGC
1.045313,1280,1408,UseParallelGC
1.035938,1280,1536,UseParallelGC
1.060938,1280,1664,UseParallelGC
1.029688,1280,1792,UseParallelGC
1.009375,1280,1920,UseParallelGC
0.1125,1408,256,UseParallelGC
0.140625,1408,384,UseParallelGC
0.125,1408,512,UseParallelGC
0.153125,1408,640,UseParallelGC
0.1625,1408,768,UseParallelGC
0.1375,1408,896,UseParallelGC
0.1328125,1408,1024,UseParallelGC
0.153125,1408,1152,UseParallelGC
0.1390625,1408,1280,UseParallelGC
0.9171875,1408,1408,UseParallelGC
0.9015625,1408,1536,UseParallelGC
0.909375,1408,1664,UseParallelGC
0.8453125,1408,1792,UseParallelGC
1.042187,1408,1920,UseParallelGC
0.165625,1536,256,UseParallelGC
0.16875,1536,384,UseParallelGC
0.134375,1536,512,UseParallelGC
0.134375,1536,640,UseParallelGC
0.125,1536,768,UseParallelGC
0.1359375,1536,896,UseParallelGC
0.128125,1536,1024,UseParallelGC
0.146875,1536,1152,UseParallelGC
0.140625,1536,1280,UseParallelGC
0.128125,1536,1408,UseParallelGC
1.035938,1536,1536,UseParallelGC
1.051563,1536,1664,UseParallelGC
1.014063,1536,1792,UseParallelGC
0.9890625,1536,1920,UseParallelGC
0.109375,1664,256,UseParallelGC
0.1109375,1664,384,UseParallelGC
0.10625,1664,512,UseParallelGC
0.115625,1664,640,UseParallelGC
0.10625,1664,768,UseParallelGC
0.14375,1664,896,UseParallelGC
0.13125,1664,1024,UseParallelGC
0.10625,1664,1152,UseParallelGC
0.15,1664,1280,UseParallelGC
0.1265625,1664,1408,UseParallelGC
0.15,1664,1536,UseParallelGC
1.034375,1664,1664,UseParallelGC
0.9828125,1664,1792,UseParallelGC
0.9234375,1664,1920,UseParallelGC
0.121875,1792,256,UseParallelGC
0.109375,1792,384,UseParallelGC
0.14375,1792,512,UseParallelGC
0.125,1792,640,UseParallelGC
0.1125,1792,768,UseParallelGC
0.121875,1792,896,UseParallelGC
0.115625,1792,1024,UseParallelGC
