Timing,Xms,Xmx,GCollector
0.1328125,1664,1024,UseG1GC
0.1328125,1664,1152,UseG1GC
0.140625,1664,1280,UseG1GC
0.1380208,1664,1408,UseG1GC
0.1510417,1664,1536,UseG1GC
1.958333,1664,1664,UseG1GC
2.052083,1664,1792,UseG1GC
1.963542,1664,1920,UseG1GC
0.1484375,1792,256,UseG1GC
0.1458333,1792,384,UseG1GC
0.1015625,1792,512,UseG1GC
0.1510417,1792,640,UseG1GC
0.1380208,1792,768,UseG1GC
0.1432292,1792,896,UseG1GC
0.1197917,1792,1024,UseG1GC
0.1302083,1792,1152,UseG1GC
0.1380208,1792,1280,UseG1GC
0.109375,1792,1408,UseG1GC
0.1302083,1792,1536,UseG1GC
0.109375,1792,1664,UseG1GC
1.958333,1792,1792,UseG1GC
1.708333,1792,1920,UseG1GC
0.1432292,1920,256,UseG1GC
0.1328125,1920,384,UseG1GC
0.1432292,1920,512,UseG1GC
0.1354167,1920,640,UseG1GC
0.1328125,1920,768,UseG1GC
0.1354167,1920,896,UseG1GC
0.1588542,1920,1024,UseG1GC
0.1223958,1920,1152,UseG1GC
0.109375,1920,1280,UseG1GC
0.1484375,1920,1408,UseG1GC
0.1328125,1920,1536,UseG1GC
0.1640625,1920,1664,UseG1GC
0.1276042,1920,1792,UseG1GC
2.010417,1920,1920,UseG1GC
3.486979,256,256,UseSerialGC
3.71875,256,384,UseSerialGC
4.117188,256,512,UseSerialGC
4.036458,256,640,UseSerialGC
3.971354,256,768,UseSerialGC
4.020833,256,896,UseSerialGC
3.942708,256,1024,UseSerialGC
3.9375,256,1152,UseSerialGC
4.036458,256,1280,UseSerialGC
3.976563,256,1408,UseSerialGC
3.927083,256,1536,UseSerialGC
3.895833,256,1664,UseSerialGC
3.981771,256,1792,UseSerialGC
4.005208,256,1920,UseSerialGC
0.140625,384,256,UseSerialGC
3.208333,384,384,UseSerialGC
3.817708,384,512,UseSerialGC
3.861979,384,640,UseSerialGC
3.481771,384,768,UseSerialGC
3.877604,384,896,UseSerialGC
3.770833,384,1024,UseSerialGC
4.054688,384,1152,UseSerialGC
3.848958,384,1280,UseSerialGC
3.721354,384,1408,UseSerialGC
3.846354,384,1536,UseSerialGC
3.502604,384,1664,UseSerialGC
3.71875,384,1792,UseSerialGC
3.815104,384,1920,UseSerialGC
0.1666667,512,256,UseSerialGC
0.1145833,512,384,UseSerialGC
2.309896,512,512,UseSerialGC
2.307292,512,640,UseSerialGC
2.335938,512,768,UseSerialGC
2.388021,512,896,UseSerialGC
2.304688,512,1024,UseSerialGC
2.213542,512,1152,UseSerialGC
2.315104,512,1280,UseSerialGC
2.434896,512,1408,UseSerialGC
2.367188,512,1536,UseSerialGC
2.263021,512,1664,UseSerialGC
2.244792,512,1792,UseSerialGC
2.299479,512,1920,UseSerialGC
0.1223958,640,256,UseSerialGC
0.1015625,640,384,UseSerialGC
0.1354167,640,512,UseSerialGC
1.958333,640,640,UseSerialGC
1.846354,640,768,UseSerialGC
1.947917,640,896,UseSerialGC
1.929688,640,1024,UseSerialGC
1.947917,640,1152,UseSerialGC
1.971354,640,1280,UseSerialGC
1.755208,640,1408,UseSerialGC
1.960938,640,1536,UseSerialGC
1.950521,640,1664,UseSerialGC
1.901042,640,1792,UseSerialGC
1.75,640,1920,UseSerialGC
0.1119792,768,256,UseSerialGC
0.125,768,384,UseSerialGC
9.895834E-02,768,512,UseSerialGC
0.1041667,768,640,UseSerialGC
1.895833,768,768,UseSerialGC
1.908854,768,896,UseSerialGC
1.945313,768,1024,UseSerialGC
1.90625,768,1152,UseSerialGC
1.914063,768,1280,UseSerialGC
1.864583,768,1408,UseSerialGC
1.872396,768,1536,UseSerialGC
1.880208,768,1664,UseSerialGC
1.895833,768,1792,UseSerialGC
1.898438,768,1920,UseSerialGC
9.895834E-02,896,256,UseSerialGC
9.895834E-02,896,384,UseSerialGC
0.1041667,896,512,UseSerialGC
9.895834E-02,896,640,UseSerialGC
0.1145833,896,768,UseSerialGC
1.481771,896,896,UseSerialGC
1.455729,896,1024,UseSerialGC
1.466146,896,1152,UseSerialGC
1.497396,896,1280,UseSerialGC
1.445313,896,1408,UseSerialGC
1.463542,896,1536,UseSerialGC
1.486979,896,1664,UseSerialGC
1.505208,896,1792,UseSerialGC
1.502604,896,1920,UseSerialGC
0.1041667,1024,256,UseSerialGC
0.109375,1024,384,UseSerialGC
9.895834E-02,1024,512,UseSerialGC
0.1145833,1024,640,UseSerialGC
9.895834E-02,1024,768,UseSerialGC
9.895834E-02,1024,896,UseSerialGC
1.481771,1024,1024,UseSerialGC
1.460938,1024,1152,UseSerialGC
1.447917,1024,1280,UseSerialGC
1.471354,1024,1408,UseSerialGC
1.471354,1024,1536,UseSerialGC
1.463542,1024,1664,UseSerialGC
1.450521,1024,1792,UseSerialGC
1.481771,1024,1920,UseSerialGC
0.1041667,1152,256,UseSerialGC
0.109375,1152,384,UseSerialGC
0.109375,1152,512,UseSerialGC
0.09375,1152,640,UseSerialGC
0.1041667,1152,768,UseSerialGC
0.1041667,1152,896,UseSerialGC
9.895834E-02,1152,1024,UseSerialGC
1.598958,1152,1152,UseSerialGC
1.606771,1152,1280,UseSerialGC
1.632813,1152,1408,UseSerialGC
1.627604,1152,1536,UseSerialGC
1.669271,1152,1664,UseSerialGC
1.635417,1152,1792,UseSerialGC
1.697917,1152,1920,UseSerialGC
0.1041667,1280,256,UseSerialGC
0.1067708,1280,384,UseSerialGC
0.1041667,1280,512,UseSerialGC
0.1041667,1280,640,UseSerialGC
0.1041667,1280,768,UseSerialGC
0.1041667,1280,896,UseSerialGC
0.1171875,1280,1024,UseSerialGC
0.1041667,1280,1152,UseSerialGC
1.28125,1280,1280,UseSerialGC
1.28125,1280,1408,UseSerialGC
1.28125,1280,1536,UseSerialGC
1.273438,1280,1664,UseSerialGC
1.244792,1280,1792,UseSerialGC
1.265625,1280,1920,UseSerialGC
0.1041667,1408,256,UseSerialGC
0.09375,1408,384,UseSerialGC
0.1223958,1408,512,UseSerialGC
0.1067708,1408,640,UseSerialGC
9.635416E-02,1408,768,UseSerialGC
0.1015625,1408,896,UseSerialGC
9.895834E-02,1408,1024,UseSerialGC
0.09375,1408,1152,UseSerialGC
9.895834E-02,1408,1280,UseSerialGC
1.333333,1408,1408,UseSerialGC
1.328125,1408,1536,UseSerialGC
1.315104,1408,1664,UseSerialGC
1.322917,1408,1792,UseSerialGC
1.328125,1408,1920,UseSerialGC
9.895834E-02,1536,256,UseSerialGC
9.895834E-02,1536,384,UseSerialGC
9.895834E-02,1536,512,UseSerialGC
0.09375,1536,640,UseSerialGC
0.09375,1536,768,UseSerialGC
0.1041667,1536,896,UseSerialGC
8.854166E-02,1536,1024,UseSerialGC
9.895834E-02,1536,1152,UseSerialGC
9.895834E-02,1536,1280,UseSerialGC
0.09375,1536,1408,UseSerialGC
1.466146,1536,1536,UseSerialGC
1.476563,1536,1664,UseSerialGC
1.476563,1536,1792,UseSerialGC
1.494792,1536,1920,UseSerialGC
0.09375,1664,256,UseSerialGC
0.1041667,1664,384,UseSerialGC
0.1197917,1664,512,UseSerialGC
0.1041667,1664,640,UseSerialGC
9.895834E-02,1664,768,UseSerialGC
9.895834E-02,1664,896,UseSerialGC
9.895834E-02,1664,1024,UseSerialGC
0.09375,1664,1152,UseSerialGC
9.895834E-02,1664,1280,UseSerialGC
9.895834E-02,1664,1408,UseSerialGC
0.09375,1664,1536,UseSerialGC
1.398438,1664,1664,UseSerialGC
1.395833,1664,1792,UseSerialGC
1.398438,1664,1920,UseSerialGC
0.1041667,1792,256,UseSerialGC
9.895834E-02,1792,384,UseSerialGC
0.1041667,1792,512,UseSerialGC
