Timing,Xms,Xmx,GCollector
9.895834E-02,1664,768,UseG1GC
0.09375,1664,896,UseG1GC
9.895834E-02,1664,1024,UseG1GC
0.1041667,1664,1152,UseG1GC
0.09375,1664,1280,UseG1GC
9.895834E-02,1664,1408,UseG1GC
9.895834E-02,1664,1536,UseG1GC
5.114583,1664,1664,UseG1GC
4.598958,1664,1792,UseG1GC
4.783854,1664,1920,UseG1GC
0.1197917,1792,256,UseG1GC
9.895834E-02,1792,384,UseG1GC
9.895834E-02,1792,512,UseG1GC
0.109375,1792,640,UseG1GC
0.1302083,1792,768,UseG1GC
0.1041667,1792,896,UseG1GC
9.895834E-02,1792,1024,UseG1GC
0.109375,1792,1152,UseG1GC
0.1015625,1792,1280,UseG1GC
0.1041667,1792,1408,UseG1GC
0.109375,1792,1536,UseG1GC
9.895834E-02,1792,1664,UseG1GC
4.760417,1792,1792,UseG1GC
4.945313,1792,1920,UseG1GC
0.109375,1920,256,UseG1GC
9.895834E-02,1920,384,UseG1GC
9.895834E-02,1920,512,UseG1GC
0.1041667,1920,640,UseG1GC
0.109375,1920,768,UseG1GC
0.1145833,1920,896,UseG1GC
9.895834E-02,1920,1024,UseG1GC
0.1041667,1920,1152,UseG1GC
0.1041667,1920,1280,UseG1GC
0.1041667,1920,1408,UseG1GC
0.1041667,1920,1536,UseG1GC
0.1041667,1920,1664,UseG1GC
0.1354167,1920,1792,UseG1GC
5.117188,1920,1920,UseG1GC
2.851563,256,256,UseSerialGC
11.21875,256,384,UseSerialGC
11.29167,256,512,UseSerialGC
11.36458,256,640,UseSerialGC
11.34635,256,768,UseSerialGC
11.34896,256,896,UseSerialGC
11.31771,256,1024,UseSerialGC
11.08073,256,1152,UseSerialGC
11.07031,256,1280,UseSerialGC
11.04948,256,1408,UseSerialGC
16.05469,256,1536,UseSerialGC
17.70313,256,1664,UseSerialGC
14.85938,256,1792,UseSerialGC
17.36979,256,1920,UseSerialGC
0.1354167,384,256,UseSerialGC
18.89323,384,384,UseSerialGC
17.125,384,512,UseSerialGC
18.5625,384,640,UseSerialGC
15.26042,384,768,UseSerialGC
16.7474,384,896,UseSerialGC
14.30208,384,1024,UseSerialGC
15.01823,384,1152,UseSerialGC
12.97917,384,1280,UseSerialGC
12.8125,384,1408,UseSerialGC
12.55208,384,1536,UseSerialGC
12.77083,384,1664,UseSerialGC
12.0651,384,1792,UseSerialGC
11.89323,384,1920,UseSerialGC
0.09375,512,256,UseSerialGC
9.895834E-02,512,384,UseSerialGC
11.95313,512,512,UseSerialGC
12.6224,512,640,UseSerialGC
12.97135,512,768,UseSerialGC
13.06771,512,896,UseSerialGC
12.97917,512,1024,UseSerialGC
13.01823,512,1152,UseSerialGC
13.47135,512,1280,UseSerialGC
14.03646,512,1408,UseSerialGC
12.90625,512,1536,UseSerialGC
12.93229,512,1664,UseSerialGC
12.97656,512,1792,UseSerialGC
12.91927,512,1920,UseSerialGC
0.09375,640,256,UseSerialGC
0.09375,640,384,UseSerialGC
9.895834E-02,640,512,UseSerialGC
10.34896,640,640,UseSerialGC
